split	regime	bucket	sample_count	sample_ratio	avg_forward_return
train	below_200dma	down	319	0.3162	-0.082
train	below_200dma	flat	494	0.4896	0.0172
train	below_200dma	up	196	0.1943	0.1345
train	above_200dma	down	492	0.2548	-0.0764
train	above_200dma	flat	885	0.4583	0.0219
train	above_200dma	up	554	0.2869	0.1341
validation	below_200dma	down	42	0.1641	-0.0661
validation	below_200dma	flat	155	0.6055	0.0175
validation	below_200dma	up	59	0.2305	0.1232
validation	above_200dma	down	145	0.3877	-0.0694
validation	above_200dma	flat	160	0.4278	0.0119
validation	above_200dma	up	69	0.1845	0.1195
test	below_200dma	down	0	0.0	0.0
test	below_200dma	flat	13	0.52	0.0499
test	below_200dma	up	12	0.48	0.1087
test	above_200dma	down	68	0.1124	-0.0835
test	above_200dma	flat	209	0.3455	0.0299
test	above_200dma	up	328	0.5421	0.1526
